@relation R_data_frame

@attribute desc string
@attribute class {0,1}

@data
'franchis hockey manag is a new hockey manag game from the maker of the award win out of the park basebal seri a truli global game fhm is the deepest most immers and most customiz hockey manag game in the world choos one of leagu around the globe and select a team to guid to glori sign free agent trade player draft the next crop of superstar and much',1
'the ruthless shivan emerg through subspac near earth harbor technolog light year ahead of anyth seen befor they made no attempt to commun they did not respond to your herald they simpli attack and destroy everyth in their path as a pilot for the galact terran allianc you are no stranger to war howev when race through space to engag your new enemi for the',0
'somewher along the vener rout in the middl of nowher you will find joe s diner as an employe work the graveyard shift for the next month your primari task is to keep the tabl clean no tough challeng at all unfortun there s a rub to it the old diner was built on the site of a former indian cemeteri amongst the buri two rival chieftain are laid to rest while aliv',0
'shoot dodg and get hit ikaruga is a vertic shoot em up that featur an uniqu polar switch gameplay switch the ship s polar and get hit and absorb enemi bullet achiev high score with the chain bonus featur the player ship all enemi and bullet are black or white player s polar can be switch at will your ship can absorb enemi bullet of the same polar fill',1
'it s the rd centuri bc despit be support by thousand of mercenari carthag has just been overrun by it sworn enemi the roman dure the first punic war in the midst of the kill salammbo the daughter of the command of the carthaginian forc fall in love with the leader of the mercenari matho who is lay sieg to the citi as he demand payment for his servic ',0
'tire of invad dungeon it s time you build your own do you feel you are in a slump monoton disembowel evil guy in endless quest for gold and a slight better pair of boot you are start to wonder are heroic realli your call welcom to the war for the overworld war for the overworld is a dungeon manag game that employ your favourit aspect of the rts and god',1
'warn this game has an age restrict of vapour is an experiment horror game that fuse element of both old school and modern horror titl with the frantic game play of classic first person shooter titl blend horror shooter action puzzl and platform in a dynam yet cohes combin in vapour you take on the role of a psychot warlock known onli as charl who has',1
'stardriv is an excit and evolutionari step forward for the stardriv franchis in this eager anticip sequel the core mechan have evolv to incorpor a turn base strateg layer featur spectacular realtim battl as the galact ruler of your race you will lead your peopl into a procedur generat galaxi explor and expand your space empir to great ',1
'play as two of the greatest scienc fiction hero ever kirk and spock in the award win star trek a complet origin co op experi that expand the star trek univers even further set in the rd centuri world of the massiv popular star trek reboot this cover base shooter immers player in a rich origin stori and action pack combat authent star trek univers kirk',1
'human asset is a metroid style d platform that pay homag to the tradit retro classic shoot em up genr alien have invad earth to strip the planet of it resourc to save their own die planet as in all classic shoot em up onli you can save the day now there s a surpris with level over stage and a multitud of awesom weapon you must hack slash and shoot',1
'join the doctor as his companion in an out of this world adventur through time and space you will need all your wit and courag to outsmart and defeat some of the doctor most stori enemi like the dalek cybermen and the vashta nerada explor the univers and even see the inner work of the tardi experi this thrill adventur game base on the hit tv seri doctor who use',1
'between our world and the world beyond lie the titan soul the spiritu sourc and sum of all live thing now scatter amongst the ruin and guard by the idl titan charg with their care a solitari hero arm with but a singl arrow is onc again assembl shard of the titan soul in a quest for truth and power coloss titan explor the ancient ruin of your forefath and',0
'hexcel infinit is the third game in the seri of ambient logic puzzl game it includ a new set of puzzl as well as a random puzzl generat and now support mid level save and cross platform cloud save the level generat use an digit seed number to generat each puzzl so they can easili be share',1
'aqua kitti is a fast pace retro style submarin arcad shooter with option player local co op blast through hord of mechan sea monster in your kitti sub and defend the deep sea milk mine kitten the milk must flow stori due to a sudden shortag of milk cat around the world are forc to seek out new sourc to get their fix you and your team of milk mine kitten have',1
'the dungeon lord is back and this time he s serious in dungeon fulfil the dungeon lord s insati quest for vengeanc by recruit fearsom new monster from all corner of the underworld in order to undertak his evil bid take over the underworld isn t enough though this time the dungeon lord will extend his dominion over the puni human and attempt to conquer the overworld too ',0
'appear on steam for the first time age of fear the undead king is the first in the critic acclaim age of fear seri the stori take place in an untam fantasyland where four forc human kingdom greenskin hord undead legion and chao demon are fight for domin and surviv age of fear the undead king is a fantasi strategi game featur novel battl system two',1
'unleash a furi of power weapon as you blast your way through armi of alien forc hell bent on take you down battl through intens level and prepar to face a barrag of beast size boss that will test your everi skill each of your weapon come with two fire mode and you ll need all of them battl harden alien forc will attack you from everi direct use various',0
'ns combat includ seven differ player control lifeform a vault full of weapon and abil a stat system full mod support and five origin map game last around minut and player may join and leav at ani time without disrupt gameplay faultlin game is a game develop that start as a mod team our indi publish unknown world also start as a mod team ',0
'play as an unicorn who crash it ship on an alien planet where noth make sens in your journey you will face mani peril but will you make it out of this strang planet aliv spacecorn was made by three portugues student we like to call ourselv gentlemen in tuxedo pictur it as compani name on summer break this is the first chapter of a seri that will be come soon at least',0
'a brand new super hero epic that will electrifi your soul yuuki yamato has model his young life after the super hero he love when his best friend haruna is teas by bulli he alway tri to defend her but his life is not a comic book and thing never work out as plan one day after yet anoth failur haruna tell yamato that she is move away she ask him to come and see',0
'the world have been shatter and you have been exil to one of these shard the time has come to return to ardania and seek vengeanc on those who cast you out battl through the fractur realm inhabit by other exil hostil mage and terrifi creatur onc back in ardania you will face your greatest threat the unit one and his four vicar conquer all who oppos you reclaim',0
'from the author of spice and wolf isuna hasekura come world end economica the open video featur music by kishida kyoudan the akeboshi rocket known for the open song for high school of the dead and strike the blood a three part visual novel set in the far futur on the moon year after human have begun to colon it a young boy name haru has been chase his wildest',1
'slinki is a hard as nail d action platform where your own prosthet arm is the ultim multipurpos weapon use it as a blade boomerang to control the popul of mutat critter pull lever toward you to get through puzzl and zip line across grappl surfac furthermor instead of have your weapon return to you whi not return to it instead with the power of slinki s',1
'slow down bull is an action collect game about a stress out overachiev bull who just want to make beauti art help steer esteban through a beauti schoolcraft art world to collect as mani crafti piec as you can but be care everi time you steer him he get a littl more stress out and you don t want to stress him out run and bounc around level in differ area ',1
'sens is the undisput chieftain his follow are well vers in everi extort infiltr and martial art poni and biki are his best student his pride and joy the duo know the secret chakra techniqu like the back of their hand or hoof in poni s case togeth they rule the citi and it surround although everyon respect and fear them they are hunt by law enforc',0
'your task is to draw a line a singl line how complex can that be start with one tile and trace a line to the next then the next each tile you pass over flip from black to white or back again use onli a singl line can you flip all the black tile the simplest puzzl can have hundr of solut and unium featur over level to solv your way through unlock harder puzzl by',1
'world renown kojima product showcas anoth masterpiec in the metal gear solid franchis with metal gear solid v ground zero metal gear solid v ground zero is the first segment of the metal gear solid v experi and prologu to the larger second segment metal gear solid v the phantom pain launch thereaft mgsv gz give core fan the opportun to get a tast of the',0
'ruzh delta z is a frenzi shoot em up which draw inspir from classic such as gradius dodonpachi and r type shoot your way through peril stage and wreck thousand of rogu vessel in your quest to becom the ultim pilot featur intens non stop shoot action bullet bullet and more bullet nail bite classic shmup gameplay ton of rogu vessel to destroy immers',1
'jump to a new level of adventur journey with the shaman panda juju and his lizard sidekick peyo as they embark upon a danger and mystic journey to save juju s father and the world from an ancient evil run bounc chant and battl humong boss with a friend or famili member in this beauti anim lightheart adventur stori juju s father jambe head out to perform his',1
'can you conquer the ever chang dungeon of darkend and save the fall of human choos your hero and ventur into a world fill with numer treasur mysteri secret and discov a haunt past in this hour of retro d dungeon crawl your hero your destini there are four playabl charact each with his her own uniqu stori line select your hero and help them face',1
'rc mini racer is a fast pace and explos race game with remot control mini car lot of missil and mine turbo for an extra boost as well as great hard rock music more than car can be unlock within the game and the car pimp shop let you custom you rc car by chang the color the wheel and the antenna the game featur track separ in circuit race round',1
'load your gun start your engin the classic is back brought to you from remedi renown develop of max payn and alan wake remedi s death ralli classic top down racer is back stronger and more vicious than ever this is no sunday drive this is death ralli so be prepar to be blown away liter make a run for the finish line with a trail of burnt rubber and spent brass behind',1
'the way of the pixel fist is a parkour and martial art inspir free roam cinemat platform while it blend togeth the gameplay concept of the princ of persia and karateka they are present with refin control and other modern innov to give the game an intuit and fluid feel player play as dag in this successor to jump boxer as he look to complet the trial within',1
'about the game dead state is a compel high tension surviv rpg set in central texa at the collaps of civil and the dawn of the undead apocalyps as societi is begin to fall apart the player must organ a group of survivor togeth fortifi a shelter scout for food and suppli negoti with or defend against other faction and maintain order insid the shelter as',1
